"chapter","file","description","lines","has_main"
"cap01","repositorio_competitive/cap01/01-complexity-benchmark.cpp","Complexity Benchmark","112","yes"
"cap01","repositorio_competitive/cap01/04-cache-locality.cpp","Cache Locality","124","yes"
"cap01","repositorio_competitive/cap01/05-branchless.cpp","Branchless Benchmark","65","yes"
"cap01","repositorio_competitive/cap01/10-archive-seals.cpp","Archive Seals","23","yes"
"cap01","repositorio_competitive/cap01/11-doubling-beacon.cpp","Doubling Beacon","22","yes"
"cap01","repositorio_competitive/cap01/12-bell-greetings.cpp","Bell Greetings","14","yes"
"cap01","repositorio_competitive/cap01/13-watchmaker-runs.cpp","Watchmaker Runs","23","yes"
"cap01","repositorio_competitive/cap01/14-observatory-tiles.cpp","Observatory Tiles","62","yes"
"cap01","repositorio_competitive/cap01/15-narrow-gate.cpp","Narrow Gate","28","yes"
"cap01","repositorio_competitive/cap01/16-two-couriers.cpp","Two Couriers","22","yes"
"cap02","repositorio_competitive/cap02/01-aliases.cpp","Aliases","85","yes"
"cap02","repositorio_competitive/cap02/02-vectors.cpp","Vectors","112","yes"
"cap02","repositorio_competitive/cap02/03-matrices.cpp","Matrices","125","yes"
"cap02","repositorio_competitive/cap02/04-span.cpp","Span","71","yes"
"cap02","repositorio_competitive/cap02/05-loops.cpp","Loops","86","yes"
"cap02","repositorio_competitive/cap02/06-algorithms.cpp","Algorithms","95","yes"
"cap02","repositorio_competitive/cap02/07-namespaces.cpp","Namespaces","123","yes"
"cap02","repositorio_competitive/cap02/08-frequency-analysis.cpp","Frequency Analysis","116","yes"
"cap02","repositorio_competitive/cap02/09-histogram-exercise.cpp","Histogram Exercise","223","yes"
"cap02","repositorio_competitive/cap02/10-prime-vault.cpp","Prime Vault","38","yes"
"cap02","repositorio_competitive/cap02/11-lighthouse-columns.cpp","Lighthouse Columns","28","yes"
"cap02","repositorio_competitive/cap02/12-market-median.cpp","Market Median","35","yes"
"cap02","repositorio_competitive/cap02/13-caravan-ledger.cpp","Caravan Ledger","43","yes"
"cap02","repositorio_competitive/cap02/14-river-ledger.cpp","River Ledger","37","yes"
"cap02","repositorio_competitive/cap02/15-mosaic-rows.cpp","Mosaic Rows","25","yes"
"cap02","repositorio_competitive/cap02/16-third-footstep.cpp","Third Footstep","18","yes"
"cap02","repositorio_competitive/cap02/17-move-emplace.cpp","Move Emplace Benchmark","71","yes"
"cap02","repositorio_competitive/cap02/18-soa-aos.cpp","SoA vs AoS Benchmark","65","yes"
"cap02","repositorio_competitive/cap02/19-ranges-demo.cpp","Ranges Demo","45","yes"
"cap03","repositorio_competitive/cap03/01-sync.cpp","Sync","77","yes"
"cap03","repositorio_competitive/cap03/02-fread-parser.cpp","Fread Parser","95","yes"
"cap03","repositorio_competitive/cap03/03-fstream-expected.cpp","Fstream Expected","97","yes"
"cap03","repositorio_competitive/cap03/04-mmap.cpp","Mmap","78","yes"
"cap03","repositorio_competitive/cap03/05-sequence-statistics.cpp","Sequence Statistics","152","yes"
"cap03","repositorio_competitive/cap03/10-two-scribes.cpp","Two Scribes","33","yes"
"cap03","repositorio_competitive/cap03/11-ledger-edge.cpp","Ledger Edge","63","yes"
"cap03","repositorio_competitive/cap03/12-signal-printer.cpp","Signal Printer","49","yes"
"cap03","repositorio_competitive/cap03/13-weather-archive.cpp","Weather Archive","54","yes"
"cap03","repositorio_competitive/cap03/14-map-room.cpp","Map Room","88","yes"
"cap03","repositorio_competitive/cap03/15-lantern-config.cpp","Lantern Config","38","yes"
"cap03","repositorio_competitive/cap03/16-borrowed-line.cpp","Borrowed Line","67","yes"
"cap03","repositorio_competitive/cap03/17-expected-monadic.cpp","Expected Monadic","49","yes"
"cap04","repositorio_competitive/cap04/01-binary-search.cpp","Binary Search","98","yes"
"cap04","repositorio_competitive/cap04/18-comparator-key.cpp","Comparator Key Benchmark","67","yes"
"cap04","repositorio_competitive/cap04/02-binary-search-answers.cpp","Binary Search Answers","60","yes"
"cap04","repositorio_competitive/cap04/03-sort.cpp","Sort","141","yes"
"cap04","repositorio_competitive/cap04/04-counting-radix.cpp","Counting Radix","87","yes"
"cap04","repositorio_competitive/cap04/05-ranking-exercise.cpp","Ranking Exercise","107","yes"
"cap04","repositorio_competitive/cap04/10-pipeline-sensors.cpp","Pipeline Sensors","32","yes"
"cap04","repositorio_competitive/cap04/11-night-pairing.cpp","Night Pairing","42","yes"
"cap04","repositorio_competitive/cap04/12-patient-guide.cpp","Patient Guide","51","yes"
"cap04","repositorio_competitive/cap04/13-copyist-error.cpp","Copyist Error","34","yes"
"cap04","repositorio_competitive/cap04/14-redundant-watch.cpp","Redundant Watch","38","yes"
"cap04","repositorio_competitive/cap04/15-festival-halls.cpp","Festival Halls","37","yes"
"cap04","repositorio_competitive/cap04/16-ink-stamps.cpp","Ink Stamps","44","yes"
"cap05","repositorio_competitive/cap05/01-prefix-sum.cpp","Prefix Sum","83","yes"
"cap05","repositorio_competitive/cap05/02-difference-array.cpp","Difference Array","78","yes"
"cap05","repositorio_competitive/cap05/03-sliding-window.cpp","Sliding Window","110","yes"
"cap05","repositorio_competitive/cap05/04-sparse-table.cpp","Sparse Table","67","yes"
"cap05","repositorio_competitive/cap05/05-kadane-two-pointers.cpp","Kadane Two Pointers","118","yes"
"cap05","repositorio_competitive/cap05/06-hashing.cpp","Hashing","138","yes"
"cap05","repositorio_competitive/cap05/06-incremental-update.cpp","Incremental Update","125","yes"
"cap05","repositorio_competitive/cap05/07-quickselect-dutch.cpp","Quickselect Dutch","97","yes"
"cap05","repositorio_competitive/cap05/08-mos-algorithm.cpp","Mos Algorithm","71","yes"
"cap05","repositorio_competitive/cap05/10-query-exercise.cpp","Query Exercise","104","yes"
"cap05","repositorio_competitive/cap05/11-pivot-index.cpp","Pivot Index","86","yes"
"cap05","repositorio_competitive/cap05/12-fixed-window-sum.cpp","Fixed Window Sum","77","yes"
"cap05","repositorio_competitive/cap05/13-max-decline.cpp","Max Decline","77","yes"
"cap05","repositorio_competitive/cap05/14-tournament-ledger.cpp","Tournament Ledger","59","yes"
"cap05","repositorio_competitive/cap05/15-reactor-cycles.cpp","Reactor Cycles","34","yes"
"cap05","repositorio_competitive/cap05/16-zero-sum-triplets.cpp","Zero Sum Triplets","65","yes"
"cap05","repositorio_competitive/cap05/17-lantern-ranges.cpp","Lantern Ranges","33","yes"
"cap05","repositorio_competitive/cap05/18-frozen-valley.cpp","Frozen Valley","58","yes"
"cap05","repositorio_competitive/cap05/19-balanced-expedition.cpp","Balanced Expedition","32","yes"
"cap05","repositorio_competitive/cap05/20-signal-signatures.cpp","Signal Signatures","31","yes"
"cap05","repositorio_competitive/cap05/21-bitset-observatories.cpp","Bitset Observatories","72","yes"
"cap05","repositorio_competitive/cap05/22-plagiarist-manuscript.cpp","Plagiarist Manuscript","80","yes"
"cap05","repositorio_competitive/cap05/23-apothecary-shelves.cpp","Apothecary Shelves","50","yes"
"cap05","repositorio_competitive/cap05/24-bit-cast-byteswap.cpp","Bit Cast Byteswap","56","yes"
"cap06","repositorio_competitive/cap06/01-stack-queue.cpp","Stack Queue","144","yes"
"cap06","repositorio_competitive/cap06/02-bst-map.cpp","Bst Map","111","yes"
"cap06","repositorio_competitive/cap06/03-heap.cpp","Heap","108","yes"
"cap06","repositorio_competitive/cap06/04-fenwick.cpp","Fenwick","133","yes"
"cap06","repositorio_competitive/cap06/05-segtree.cpp","Segtree","129","yes"
"cap06","repositorio_competitive/cap06/06-hashtable.cpp","Hashtable","110","yes"
"cap06","repositorio_competitive/cap06/07-dsu.cpp","Dsu","138","yes"
"cap06","repositorio_competitive/cap06/08-event-scheduler.cpp","Event Scheduler","110","yes"
"cap06","repositorio_competitive/cap06/09-island-cables.cpp","Island Cables","68","yes"
"cap06","repositorio_competitive/cap06/10-orbiting-songs.cpp","Orbiting Songs","76","yes"
"cap06","repositorio_competitive/cap06/11-aqueduct-pressure.cpp","Aqueduct Pressure","54","yes"
"cap06","repositorio_competitive/cap06/12-winter-roads.cpp","Winter Roads","105","yes"
"cap06","repositorio_competitive/cap06/13-awakening-valleys.cpp","Awakening Valleys","112","yes"
"cap06","repositorio_competitive/cap06/14-watchtower-maximum.cpp","Watchtower Maximum","89","yes"
"cap06","repositorio_competitive/cap06/15-parking-lanterns.cpp","Parking Lanterns","40","yes"
"cap06","repositorio_competitive/cap06/16-assoc-lookup.cpp","Associative Lookup Benchmark","71","yes"
"cap07","repositorio_competitive/cap07/01-simulation.cpp","Simulation","116","yes"
"cap07","repositorio_competitive/cap07/02-backtracking.cpp","Backtracking","146","yes"
